,,,,,,,,,
,,,,,,,,,
t,Oxazolidine,AB ICNR,AB IC,AC IC,BB IC,BC IC,AB 2 BC INT,A PYR,B PYR
0,10,0.00E+000,0.00E+000,0,0,0,0,0,0
0.0033388982,9.9993255518,1.37E-007,1.68E-013,2.94E-015,1.63E-012,3.23E-012,6.94E-012,1.87E-009,0.0006743095
0.0066777963,9.9986512859,1.37E-007,1.68E-013,2.73E-015,-2.93E-012,3.23E-012,6.94E-012,3.75E-009,0.0013485736
0.0100166945,9.9979770654,1.37E-007,1.68E-013,3.06E-015,4.24E-012,3.23E-012,6.94E-012,5.62E-009,0.0020227922
0.0133555927,9.9973028904,1.37E-007,1.68E-013,3.07E-015,4.49E-012,3.22E-012,6.94E-012,7.50E-009,0.0026969654
0.0166944908,9.9966287608,1.37E-007,1.68E-013,3.08E-015,4.71E-012,3.22E-012,6.94E-012,9.37E-009,0.0033710931
0.020033389,9.9959546767,1.37E-007,1.68E-013,3.09E-015,4.85E-012,3.22E-012,6.94E-012,1.12E-008,0.0040451753
0.0233722871,9.995280638,1.37E-007,1.68E-013,3.09E-015,4.85E-012,3.22E-012,6.94E-012,1.31E-008,0.0047192121
0.0267111853,9.9946066447,1.37E-007,1.68E-013,3.09E-015,4.95E-012,3.22E-012,6.94E-012,1.50E-008,0.0053932036
0.0300500835,9.9939326967,1.37E-007,1.68E-013,3.11E-015,5.25E-012,3.22E-012,6.94E-012,1.69E-008,0.0060671498
0.0333889816,9.9932587941,1.37E-007,1.68E-013,3.12E-015,5.52E-012,3.22E-012,6.94E-012,1.87E-008,0.0067410505
0.0367278798,9.9925849369,1.37E-007,1.68E-013,3.13E-015,5.75E-012,3.22E-012,6.94E-012,2.06E-008,0.0074149058
0.040066778,9.9919111252,1.37E-007,1.68E-013,3.14E-015,5.96E-012,3.22E-012,6.94E-012,2.25E-008,0.0080887157
0.0434056761,9.9912373589,1.37E-007,1.68E-013,3.15E-015,6.13E-012,3.22E-012,6.94E-012,2.44E-008,0.0087624801
0.0467445743,9.990563638,1.37E-007,1.68E-013,3.15E-015,6.27E-012,3.22E-012,6.94E-012,2.62E-008,0.0094361991
0.0500834725,9.9898899625,1.37E-007,1.68E-013,3.16E-015,6.38E-012,3.22E-012,6.94E-012,2.81E-008,0.0101098727
0.0534223706,9.9892163325,1.37E-007,1.68E-013,3.16E-015,6.45E-012,3.22E-012,6.94E-012,3.00E-008,0.0107835009
0.0567612688,9.9885427479,1.37E-007,1.68E-013,3.16E-015,6.50E-012,3.22E-012,6.94E-012,3.19E-008,0.0114570836
0.0601001669,9.9878692088,1.37E-007,1.68E-013,3.16E-015,6.51E-012,3.22E-012,6.93E-012,3.37E-008,0.0121306209
0.0634390651,9.987195715,1.37E-007,1.68E-013,3.16E-015,6.49E-012,3.22E-012,6.93E-012,3.56E-008,0.0128041128
0.0667779633,9.9865222667,1.37E-007,1.68E-013,3.16E-015,6.44E-012,3.22E-012,6.93E-012,3.75E-008,0.0134775592
0.0701168614,9.9858488639,1.37E-007,1.68E-013,3.15E-015,6.36E-012,3.22E-012,6.93E-012,3.94E-008,0.0141509602
0.0734557596,9.9851755064,1.37E-007,1.68E-013,3.15E-015,6.24E-012,3.22E-012,6.93E-012,4.12E-008,0.0148243158
0.0767946578,9.9845021944,1.37E-007,1.68E-013,3.14E-015,6.10E-012,3.22E-012,6.93E-012,4.31E-008,0.0154976259
0.0801335559,9.9838289279,1.37E-007,1.68E-013,3.13E-015,5.92E-012,3.22E-012,6.93E-012,4.50E-008,0.0161708906
0.0834724541,9.9831557067,1.37E-007,1.68E-013,3.12E-015,5.71E-012,3.22E-012,6.93E-012,4.69E-008,0.0168441099
0.0868113523,9.982482531,1.37E-007,1.68E-013,3.11E-015,5.47E-012,3.22E-012,6.93E-012,4.87E-008,0.0175172837
0.0901502504,9.9818094007,1.37E-007,1.68E-013,3.10E-015,5.19E-012,3.22E-012,6.93E-012,5.06E-008,0.0181904122
0.0934891486,9.9811363159,1.37E-007,1.68E-013,3.09E-015,4.89E-012,3.22E-012,6.93E-012,5.25E-008,0.0188634951
0.0968280467,9.980463276,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.93E-012,5.43E-008,0.0195365331
0.1001669449,9.9797902815,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.93E-012,5.62E-008,0.0202095258
0.1035058431,9.9791173323,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.93E-012,5.81E-008,0.0208824732
0.1068447412,9.9784444284,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.93E-012,6.00E-008,0.0215553751
0.1101836394,9.97777157,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.93E-012,6.18E-008,0.0222282317
0.1135225376,9.9770987569,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.93E-012,6.37E-008,0.0229010429
0.1168614357,9.9764259893,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.93E-012,6.56E-008,0.0235738087
0.1202003339,9.975753267,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.93E-012,6.75E-008,0.0242465291
0.1235392321,9.9750805901,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.93E-012,6.93E-008,0.0249192042
0.1268781302,9.9744079585,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.93E-012,7.12E-008,0.0255918339
0.1302170284,9.9737353724,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.92E-012,7.31E-008,0.0262644182
0.1335559265,9.9730628316,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.92E-012,7.49E-008,0.0269369571
0.1368948247,9.9723903362,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.92E-012,7.68E-008,0.0276094506
0.1402337229,9.9717178862,1.36E-007,1.68E-013,3.08E-015,4.81E-012,3.22E-012,6.92E-012,7.87E-008,0.0282818988
0.143572621,9.9710454815,1.36E-007,1.68E-013,3.08E-015,4.80E-012,3.22E-012,6.92E-012,8.05E-008,0.0289543016
0.1469115192,9.9703731223,1.36E-007,1.68E-013,3.08E-015,4.80E-012,3.22E-012,6.92E-012,8.24E-008,0.029626659
0.1502504174,9.9697008084,1.36E-007,1.68E-013,3.08E-015,4.80E-012,3.22E-012,6.92E-012,8.43E-008,0.030298971
0.1535893155,9.9690285399,1.36E-007,1.68E-013,3.08E-015,4.80E-012,3.22E-012,6.92E-012,8.62E-008,0.0309712376
